seed,precision,recall,f1,mean_detection_delay_seconds,fp_intervals,fn_intervals
1,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.0,1,2
2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,3,4
3,0.7,0.5833333333333334,0.6363636363636365,0.0,3,2
4,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.0,2,4
5,0.6428571428571429,0.75,0.6923076923076924,10.0,3,2
6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,1,2
7,0.9,0.75,0.8181818181818182,0.0,1,3
8,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.0,2,1
9,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.0,3,3
10,0.75,0.5,0.6,0.0,2,5
11,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,2,2
12,0.6923076923076923,0.75,0.7199999999999999,5.0,3,3
13,0.75,1.0,0.8571428571428571,0.0,4,0
14,0.875,0.5833333333333334,0.7000000000000001,0.0,1,3
15,1.0,0.75,0.8571428571428571,0.0,0,2
16,0.6,0.5,0.5454545454545454,5.0,2,4
17,0.6,0.75,0.6666666666666665,10.0,5,2
18,0.6363636363636364,0.5833333333333334,0.6086956521739131,5.0,3,4
19,0.6666666666666666,0.5,0.5714285714285715,5.0,3,5
20,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.0,3,4
21,0.75,0.75,0.75,0.0,3,2
22,0.7272727272727273,0.6666666666666666,0.6956521739130435,10.0,2,2
23,0.875,0.5833333333333334,0.7000000000000001,0.0,1,4
24,0.6923076923076923,0.75,0.7199999999999999,5.0,4,2
25,0.75,0.5,0.6,5.0,2,4
26,0.6,0.5,0.5454545454545454,0.0,3,4
27,0.8181818181818182,0.75,0.7826086956521738,0.0,2,2
28,0.8888888888888888,0.6666666666666666,0.761904761904762,0.0,1,4
29,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.0,3,1
30,0.9,0.75,0.8181818181818182,0.0,1,3
31,0.8,1.0,0.888888888888889,0.0,2,0
32,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,2,2
33,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.0,1,1
34,0.6153846153846154,0.6666666666666666,0.64,0.0,3,4
35,0.7692307692307693,0.8333333333333334,0.8,0.0,3,1
36,0.8888888888888888,0.6666666666666666,0.761904761904762,5.0,1,3
37,0.6923076923076923,0.75,0.7199999999999999,0.0,4,3
38,0.7692307692307693,0.8333333333333334,0.8,0.0,1,2
39,0.6363636363636364,0.5833333333333334,0.6086956521739131,15.0,3,2
40,0.75,0.75,0.75,10.0,3,2
41,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.0,4,3
42,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.0,1,2
43,0.875,0.5833333333333334,0.7000000000000001,0.0,1,3
44,0.75,0.75,0.75,0.0,3,2
45,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,1,2
46,0.6,0.5,0.5454545454545454,5.0,2,4
47,0.75,0.5,0.6,0.0,2,4
48,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,2,2
49,0.6666666666666666,0.5,0.5714285714285715,0.0,3,3
50,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,2,2
